"","time","n.risk","n.event","n.censor","estimate","std.error","conf.high","conf.low"
"1",0,305,1,0,0.99672131147541,0.00328407667699193,1,0.990326346533611
"2",0.05,304,2,0,0.99016393442623,0.00570699163794126,1,0.979150169702683
"3",0.06,302,1,0,0.986885245901639,0.00660080386183839,0.999735860870564,0.974199812868807
"4",0.07,301,1,0,0.983606557377049,0.00739221270954573,0.997961249805752,0.969458343100442
"5",0.09,300,1,0,0.980327868852459,0.00811129340863753,0.996037511191614,0.964866001180073
"6",0.1,299,2,0,0.973770491803279,0.0093975976937302,0.991872523209546,0.955998829001208
"7",0.13,297,1,0,0.970491803278689,0.00998448064689468,0.989670618488164,0.951684654102303
"8",0.14,296,1,0,0.967213114754098,0.0105423898564041,0.98740625748892,0.947432935792209
"9",0.15,295,1,0,0.963934426229508,0.0110757401390392,0.985088339072299,0.943234775213613
"10",0.17,294,1,0,0.960655737704918,0.0115879574855229,0.982723786884757,0.939083248723279
"11",0.21,293,2,0,0.954098360655738,0.0125593627325722,0.977875800064003,0.930899079153391
"12",0.27,291,3,0,0.944262295081967,0.0139116389268863,0.970363063536584,0.918863583557917
"13",0.28,288,1,0,0.940983606557377,0.0143398756236282,0.967805713463093,0.914904856927666
"14",0.29,287,1,0,0.937704918032787,0.0147585558884781,0.965225305413437,0.910969188614722
"15",0.34,286,1,0,0.934426229508197,0.0151685004280053,0.962623526532538,0.907054891477755
"16",0.37,285,1,0,0.931147540983607,0.0155704282527237,0.96000185728812,0.903160485052686
"17",0.38,284,1,0,0.927868852459017,0.0159649735359466,0.957361605395738,0.899284661627652
"18",0.39,283,3,0,0.918032786885246,0.0171096477707289,0.949340372760095,0.887757670461223
"19",0.4,280,1,0,0.914754098360656,0.0174797272888006,0.946636258001404,0.883945711348799
"20",0.44,279,2,0,0.908196721311476,0.0182049383041782,0.941187176355782,0.876362646370269
"21",0.45,277,1,0,0.904918032786885,0.0185607079931488,0.938443533335773,0.872590216645346
"22",0.46,276,1,0,0.901639344262295,0.0189123005415384,0.935687944224721,0.868829733395066
"23",0.61,275,1,0,0.898360655737705,0.0192599717524763,0.932920939897563,0.865080665748692
"24",0.67,274,1,0,0.895081967213115,0.0196039572131113,0.9301430091936,0.861342524871187
"25",0.69,273,1,0,0.891803278688525,0.0199444745141388,0.927354603445186,0.857614859434524
"26",0.79,272,1,0,0.888524590163935,0.0202817251677179,0.924556140395638,0.853897251699777
"27",0.8,271,1,0,0.885245901639344,0.0206158962723802,0.921748007604249,0.850189314112106
"28",0.81,270,1,0,0.881967213114754,0.0209471619645465,0.918930565418269,0.846490686328783
"29",0.87,269,1,0,0.878688524590164,0.0212756846891452,0.9161041495774,0.842801032614695
"30",0.88,268,1,0,0.875409836065574,0.0216016163161408,0.913269073504944,0.839120039551199
"31",0.93,267,1,0,0.872131147540984,0.0219250991252135,0.910425630330542,0.83544741401338
"32",0.96,266,1,0,0.868852459016394,0.0222462666771351,0.907574094682028,0.831782881378206
"33",0.97,265,1,0,0.865573770491804,0.0225652445873876,0.904714724277846,0.828126183932103
"34",0.99,264,1,0,0.862295081967213,0.0228821512151093,0.901847761346562,0.824477079451452
"35",1.02,263,2,0,0.855737704918033,0.023510191405663,0.896091956850381,0.817200750458975
"36",1.03,261,1,0,0.852459016393443,0.0238215306301607,0.893203533073864,0.813573108169045
"37",1.13,260,2,0,0.845901639344263,0.0244393221603607,0.887406601918865,0.806337908573204
"38",1.16,258,2,0,0.839344262295082,0.0250511771262317,0.881584054991805,0.799128326628168
"39",1.19,256,1,0,0.836065573770492,0.0253550804151913,0.878663578174362,0.795532739727913
"40",1.24,255,1,0,0.832786885245902,0.0256577346900615,0.875737164430426,0.791943090240599
"41",1.28,254,1,0,0.829508196721312,0.0259592111854407,0.872804953654973,0.788359238277018
"42",1.29,253,1,0,0.826229508196722,0.0262595781318704,0.86986707904897,0.784781050642066
"43",1.34,252,1,0,0.822950819672131,0.0265589009642673,0.866923667552036,0.781208400402083
"44",1.35,251,1,0,0.819672131147541,0.0268572425131441,0.863974840239419,0.777641166487869
"45",1.47,250,1,0,0.816393442622951,0.0271546631803443,0.861020712686836,0.774079233329858
"46",1.48,249,1,0,0.813114754098361,0.0274512211008174,0.858061395306278,0.770522490522305
"47",1.55,248,1,0,0.809836065573771,0.027746972291788,0.855096993655589,0.766970832513718
"48",1.56,247,2,0,0.80327868852459,0.0283362687817408,0.849153337197589,0.759882371265582
"49",1.57,245,1,0,0.8,0.0286299167156934,0.846174271701376,0.756345378728157
"50",1.58,244,1,0,0.79672131147541,0.0289229634176444,0.843190501028535,0.752813091922647
"51",1.6,243,1,0,0.79344262295082,0.0292154561896355,0.840202110349562,0.74928542568544
"52",1.61,242,1,0,0.79016393442623,0.0295074409051485,0.837209181408063,0.745762298279934
"53",1.63,241,1,0,0.78688524590164,0.029798962097303,0.834211792702653,0.742243631214631
"54",1.69,240,3,0,0.777049180327869,0.0306711714499179,0.82519360779306,0.731713652342826
"55",1.71,237,1,0,0.773770491803279,0.0309612598419873,0.822179105814334,0.728212100929615
"56",1.75,236,2,0,0.767213114754099,0.0315406998799029,0.816137832880937,0.721221268928182
"57",1.77,234,1,0,0.763934426229509,0.0318301267508012,0.813111184089795,0.717731866192311
"58",1.78,233,3,0,0.754098360655738,0.0326976690662554,0.804007875915825,0.707287023645037
"59",1.8,230,1,0,0.750819672131148,0.0329867200928506,0.800965831839543,0.703813018795609
"60",1.81,229,1,0,0.747540983606558,0.0332757627664722,0.797920068710282,0.700342733670936
"61",1.87,228,1,0,0.744262295081968,0.0335648300907687,0.794870634871404,0.696876119936539
"62",1.9,227,1,0,0.740983606557377,0.0338539545174826,0.791817577017674,0.693413130906694
"63",1.92,226,1,0,0.737704918032787,0.0341431679821056,0.788760940264547,0.689953721475148
"64",1.94,225,1,0,0.734426229508197,0.0344325019377847,0.785700768213564,0.686497848049724
"65",1.96,224,1,0,0.731147540983607,0.0347219873876088,0.782637103014125,0.683045468490556
"66",2,223,1,0,0.727868852459017,0.0350116549153898,0.779569985421869,0.679596542051712
"67",2.02,222,1,0,0.724590163934427,0.0353015347150501,0.776499454853882,0.676151029325985
"68",2.07,221,1,0,0.721311475409836,0.0355916566187131,0.773425549440955,0.672708892192648
"69",2.09,220,1,0,0.718032786885246,0.0358820501235916,0.770348306077047,0.669270093767985
"70",2.1,219,1,0,0.714754098360656,0.03617274441776,0.767267760466169,0.665834598358418
"71",2.11,218,1,0,0.711475409836066,0.0364637684048894,0.764183947166815,0.662402371416079
"72",2.25,217,1,0,0.708196721311476,0.03675515072802,0.761096899634111,0.658973379496664
"73",2.27,216,1,0,0.704918032786886,0.0370469197924404,0.758006650259812,0.655547590219444
"74",2.34,215,1,0,0.701639344262295,0.0373391037877386,0.754913230410275,0.65212497222929
"75",2.41,214,1,0,0.698360655737705,0.0376317307090839,0.75181667046254,0.648705495160603
"76",2.52,213,2,0,0.691803278688525,0.0382184244612573,0.745614247038055,0.641875847068901
"77",2.54,211,1,0,0.688524590163935,0.0385125464922095,0.742508439669013,0.638465619962162
"78",2.62,210,1,0,0.685245901639345,0.0388072218874934,0.739399604477705,0.635058421548936
"79",2.71,209,1,0,0.681967213114754,0.0391024779662638,0.736287767376521,0.631654225929403
"80",2.79,208,1,0,0.678688524590164,0.0393983419677272,0.73317295347078,0.628253008011065
"81",2.84,207,2,0,0.672131147540984,0.0399920023992003,0.726934491783247,0.621459408792867
"82",2.92,205,1,0,0.668852459016394,0.0402898530615782,0.723810890400183,0.618066981121183
"83",3.03,204,1,0,0.665573770491804,0.0405884201441011,0.720684405055253,0.614677438361821
"84",3.1,203,1,0,0.662295081967213,0.0408877307381418,0.717555057177703,0.61129075909966
"85",3.11,202,1,0,0.659016393442623,0.0411878119535293,0.714422867525882,0.607906922590756
"86",3.21,201,1,0,0.655737704918033,0.041488690933914,0.711287856206427,0.604525908743167
"87",3.29,200,1,0,0.652459016393443,0.0417903948719145,0.708150042692575,0.601147698098646
"88",3.3,199,1,0,0.649180327868853,0.0420929510240716,0.705009445841641,0.597772271815169
"89",3.54,198,1,0,0.645901639344263,0.0423963867256342,0.701866083911719,0.594399611650248
"90",3.55,197,1,0,0.642622950819672,0.042700729405203,0.698719974577619,0.591029699944993
"91",3.59,196,1,0,0.639344262295082,0.0430060065992527,0.695571134946106,0.587662519608888
"92",3.64,195,1,0,0.636065573770492,0.0433122459665574,0.692419581570448,0.584298054105252
"93",3.68,194,1,0,0.632786885245902,0.0436194753025401,0.689265330464315,0.58093628743734
"94",3.73,193,1,0,0.629508196721312,0.0439277225535671,0.686108397115065,0.577577204135076
"95",3.82,192,1,0,0.626229508196722,0.0442370158312094,0.682948796496431,0.574220789242371
"96",3.99,191,1,0,0.622950819672131,0.0445473834264896,0.679786543080652,0.570867028305
"97",4,190,7,0,0.6,0.0467524582212184,0.657577606323914,0.547463898614986
"98",6,183,1,1,0.59672131147541,0.0470724650928261,0.654394594945606,0.544130905602194
"99",7,181,8,2,0.570346888868762,0.0497121907812514,0.628715504447638,0.517397091913721
"100",9,171,5,0,0.553670079252716,0.0514533291579801,0.612418367858916,0.500557417523979
"101",10,166,5,0,0.536993269636671,0.0532402932009289,0.596055997605343,0.483783021718725
"102",11,161,6,0,0.516981098097416,0.0554523362819194,0.576336040985995,0.46373892448712
"103",13,155,3,0,0.506975012327789,0.0565888333889145,0.566441490329189,0.453751477448079
"104",14,152,4,0,0.493633564634952,0.0581386743283163,0.5532130434739,0.44047062701931
"105",16,148,3,0,0.483627478865325,0.0593287486808478,0.543264955947437,0.430536768022748
"106",17,145,3,0,0.473621393095697,0.0605442170403089,0.533293931638731,0.420625870068718
"107",18,142,3,0,0.46361530732607,0.0617866757498234,0.5232999346542,0.41073797062306
"108",20,139,5,0,0.446938497710024,0.0639221030869718,0.506592035515586,0.394309437833923
"109",21,134,3,1,0.436932411940397,0.0652452027520554,0.496536386568549,0.384483268030744
"110",23,130,6,1,0.416766300620071,0.0680378197687241,0.476218751607054,0.364736056164082
"111",24,123,7,0,0.393047893267709,0.0715524512035806,0.452221316209259,0.341617347225397
"112",25,116,7,2,0.369329485915347,0.0753218132062278,0.428083043025868,0.318639739155125
"113",27,107,2,0,0.362426131038425,0.0764943832968149,0.421048030286022,0.311966072778567
"114",28,105,14,0,0.314102646899968,0.0855370805040802,0.371433346403661,0.265620935074433
"115",30,91,5,0,0.296844259707662,0.089193543089703,0.35354958890603,0.249233819770642
"116",31,86,2,3,0.28994090483074,0.0907322602876861,0.346370526590979,0.242704623633695
"117",34,81,2,0,0.282781870143561,0.0924385844367383,0.338949835936388,0.235921595480274
"118",35,79,2,1,0.275622835456382,0.0942001965580737,0.331511462114077,0.229156322199425
"119",37,76,3,0,0.264742986688367,0.0970278951215779,0.320195156430236,0.21889415749469
"120",38,73,5,1,0.246609905408342,0.102086554686103,0.30123591494157,0.201889756263983
"121",39,67,1,1,0.242929160551501,0.10318820991211,0.297381270785919,0.198447524587858
"122",41,65,2,0,0.235454417149916,0.105528229177155,0.289556043504238,0.191461320870671
"123",42,63,1,0,0.231717045449124,0.10673435968944,0.285634350053497,0.18797735335969
"124",44,62,3,0,0.220504930346747,0.110509473904381,0.273831962658526,0.177562998253264
"125",45,59,3,0,0.20929281524437,0.114544027069913,0.261971696425895,0.167206927735054
"126",46,56,1,0,0.205555443543578,0.115952617314437,0.258004944550482,0.1637683356961
"127",48,55,2,1,0.198080700141993,0.118874369855542,0.250050777624043,0.156911984603921
"128",49,52,1,1,0.194271455908493,0.120449946928331,0.246000605225281,0.153419941980399
"129",51,50,3,0,0.182615168553984,0.125637516131602,0.233603688649806,0.142755878465567
"130",52,47,5,1,0.163188022963134,0.135342947819831,0.212761188171085,0.125165360597641
"131",53,41,4,0,0.147267240235024,0.144756680844614,0.19557946707719,0.110889145831861
"132",55,37,0,1,0.147267240235024,0.144756680844614,0.19557946707719,0.110889145831861
"133",56,36,2,0,0.139085726888634,0.150294655850613,0.186729789468703,0.103598035852667
"134",58,34,1,0,0.134994970215438,0.153231032021592,0.182283801992411,0.0999740063805879
"135",59,33,1,0,0.130904213542243,0.156290495140849,0.177823165281639,0.0963649089024659
"136",62,32,2,0,0.122722700195853,0.16281907813492,0.168856099408721,0.0891934682614337
"137",63,30,1,0,0.118631943522658,0.166311387138889,0.164348655211925,0.0856322067607766
"138",65,29,1,0,0.114541186849463,0.169973540839913,0.159824523803374,0.0820880498979255
"139",66,28,1,0,0.110450430176268,0.173821045642951,0.155283086216523,0.078561663239435
"140",67,27,1,0,0.106359673503073,0.177871462952634,0.150723669635438,0.0750537734056104
"141",69,26,2,0,0.0981781601566825,0.186663830288673,0.141547899694782,0.068096744300237
"142",70,24,2,0,0.0899966468102923,0.196548376553756,0.132290485341634,0.0612243308064082
"143",72,22,1,0,0.0859058901370972,0.201979618997609,0.127628688249813,0.0578225950720591
"144",79,21,1,0,0.0818151334639021,0.207790083669486,0.122943304797795,0.0544455517502582
"145",80,20,1,0,0.077724376790707,0.214028731292647,0.118233034163157,0.0510946774753945
"146",81,19,1,0,0.0736336201175119,0.22075387749013,0.113496428088328,0.0477716356623176
"147",83,18,1,0,0.0695428634443168,0.228035629415968,0.108731867835242,0.0444783112101323
"148",84,17,1,0,0.0654521067711216,0.235959146615196,0.103937536699264,0.0412168540531578
"149",86,16,2,0,0.0572705934247314,0.254175707533083,0.0942511022047205,0.0347998144795873
"150",87,14,1,0,0.0531798367515363,0.264763660260332,0.0893540488079055,0.0316504408546716
"151",90,13,1,0,0.0490890800783412,0.276604505033279,0.0844172256561431,0.0285455695115282
"152",91,12,2,0,0.040907566731951,0.305248618131797,0.0744100750103974,0.0224892800564332
"153",94,10,1,0,0.0368168100587559,0.322936263034183,0.069331405183949,0.0195506999938366
"154",95,9,2,0,0.0286352967123657,0.368827685686032,0.0589995070104451,0.0138980859223121
"155",97,7,1,0,0.0245445400391706,0.399804183992662,0.0537364331876308,0.0112109124107835
"156",101,6,1,0,0.0204537833659755,0.439518735518034,0.0484052734417038,0.0086428032368436
"157",105,5,1,0,0.0163630266927804,0.493129515311517,0.0430146351218759,0.00622459406641522
"158",108,4,1,0,0.0122722700195853,0.571410581110208,0.0376106180938899,0.00400441734452855
"159",109,3,2,0,0.0040907566731951,0.996582519850399,0.0288467058697395,0.000580110957377797
"160",114,1,1,0,0,Inf,NA,NA
